time_in,side,entry,sl,tp,lots,exit_time,exit_price,pnl_usd,,reason,cap_after
2023-12-18 17:00:00,BUY,2022.279,2017.8625,2031.1119999999999,0.0,198.2517857142857,2023-12-18 18:00:00,2031.1119999999999,0.0,TP,198.25
2023-12-19 02:00:00,SELL,2026.078,2030.163,2017.9080000000001,0.0,198.2517857142857,2023-12-19 08:00:00,2024.691,0.0,Reversal,198.25
2023-12-19 12:00:00,BUY,2026.543,2023.6682857142857,2032.2924285714284,0.0,198.2517857142857,2023-12-19 13:00:00,2032.2924285714284,0.0,TP,198.25
2023-12-19 14:00:00,BUY,2029.991,2026.238142857143,2037.4967142857142,0.0,198.2517857142857,2023-12-19 15:00:00,2037.4967142857142,0.0,TP,198.25
2023-12-19 16:00:00,BUY,2041.762,2037.528857142857,2050.2282857142854,0.0,198.2517857142857,2023-12-19 18:00:00,2037.528857142857,-0.0,SL,198.25
2023-12-20 01:00:00,SELL,2039.273,2043.3217142857143,2031.1755714285714,0.0,198.2517857142857,2023-12-20 05:00:00,2040.535,-0.0,Reversal,198.25
2023-12-20 06:00:00,BUY,2041.14,2038.4569285714288,2046.506142857143,0.0,198.2517857142857,2023-12-20 10:00:00,2038.4569285714288,-0.0,SL,198.25
2023-12-20 11:00:00,SELL,2035.972,2038.5679285714286,2030.780142857143,0.0,198.2517857142857,2023-12-20 13:00:00,2030.780142857143,0.0,TP,198.25
2023-12-20 19:00:00,SELL,2036.213,2040.4627142857144,2027.7135714285714,0.0,198.2517857142857,2023-12-20 21:00:00,2027.7135714285714,0.0,TP,198.25
2023-12-21 02:00:00,BUY,2035.434,2031.249,2043.8039999999999,0.0,198.2517857142857,2023-12-21 07:00:00,2036.874,0.0,Reversal,198.25
2023-12-21 10:00:00,SELL,2035.388,2038.212,2029.74,0.0,198.2517857142857,2023-12-21 12:00:00,2038.212,-0.0,SL,198.25
2023-12-21 13:00:00,BUY,2037.895,2034.2867857142858,2045.1114285714286,0.0,198.2517857142857,2023-12-21 14:00:00,2045.1114285714286,0.0,TP,198.25
2023-12-21 21:00:00,BUY,2044.07,2039.2964285714286,2053.617142857143,0.0,198.2517857142857,2023-12-21 23:00:00,2053.617142857143,0.0,TP,198.25
2023-12-22 08:00:00,BUY,2049.935,2046.0085714285713,2057.7878571428573,0.0,198.2517857142857,2023-12-22 11:00:00,2057.7878571428573,0.0,TP,198.25
2023-12-22 12:00:00,BUY,2060.683,2056.2595,2069.53,0.0,198.2517857142857,2023-12-22 14:00:00,2069.53,0.0,TP,198.25
2023-12-22 15:00:00,BUY,2068.421,2063.4075,2078.448,0.0,198.2517857142857,2023-12-22 16:00:00,2063.4075,-0.0,SL,198.25
2023-12-26 01:00:00,BUY,2054.886,2048.7820714285713,2067.0938571428574,0.0,198.2517857142857,2023-12-26 08:00:00,2064.151,0.0,Reversal,198.25
2023-12-26 09:00:00,SELL,2061.284,2064.373642857143,2055.104714285714,0.0,198.2517857142857,2023-12-26 14:00:00,2055.104714285714,0.0,TP,198.25
2023-12-26 19:00:00,BUY,2058.319,2055.0867857142857,2064.7834285714284,0.0,198.2517857142857,2023-12-26 20:00:00,2064.7834285714284,0.0,TP,198.25
2023-12-26 21:00:00,BUY,2068.224,2064.607,2075.458,0.0,198.2517857142857,2023-12-27,2064.607,-0.0,SL,198.25
2023-12-27 08:00:00,BUY,2065.945,2063.0732142857146,2071.688571428572,0.0,198.2517857142857,2023-12-27 10:00:00,2063.0732142857146,-0.0,SL,198.25
2023-12-27 12:00:00,BUY,2068.116,2065.0352857142857,2074.2774285714286,0.0,198.2517857142857,2023-12-27 15:00:00,2074.2774285714286,0.0,TP,198.25
2023-12-27 16:00:00,BUY,2078.786,2074.4615714285715,2087.4348571428573,0.0,198.2517857142857,2023-12-28 01:00:00,2087.4348571428573,0.0,TP,198.25
2023-12-28 02:00:00,BUY,2087.024,2082.1945,2096.683,0.0,198.2517857142857,2023-12-28 07:00:00,2085.812,-0.0,Reversal,198.25
2023-12-28 08:00:00,SELL,2086.152,2089.976357142857,2078.5032857142855,0.0,198.2517857142857,2023-12-28 09:00:00,2078.5032857142855,0.0,TP,198.25
2023-12-28 12:00:00,SELL,2075.507,2079.607857142857,2067.3052857142857,0.0,198.2517857142857,2023-12-28 14:00:00,2073.007,0.0,Reversal,198.25
2023-12-28 15:00:00,BUY,2078.788,2074.1575714285714,2088.0488571428573,0.0,198.2517857142857,2023-12-28 16:00:00,2074.1575714285714,-0.0,SL,198.25
2023-12-28 18:00:00,SELL,2074.788,2079.8123571428573,2064.7392857142854,0.0,198.2517857142857,2023-12-28 21:00:00,2064.7392857142854,0.0,TP,198.25
2023-12-29 05:00:00,BUY,2069.952,2066.4178571428574,2077.0202857142863,0.0,198.2517857142857,2023-12-29 09:00:00,2066.4178571428574,-0.0,SL,198.25
2023-12-29 10:00:00,SELL,2065.567,2068.5516428571427,2059.597714285714,0.0,198.2517857142857,2023-12-29 12:00:00,2068.5516428571427,-0.0,SL,198.25
2023-12-29 13:00:00,SELL,2065.365,2068.9821428571427,2058.130714285714,0.0,198.2517857142857,2024-01-02 01:00:00,2068.9821428571427,-0.0,SL,198.25
2024-01-02 03:00:00,BUY,2067.693,2063.1797142857145,2076.7195714285717,0.0,198.2517857142857,2024-01-02 09:00:00,2076.7195714285717,0.0,TP,198.25
2024-01-02 11:00:00,SELL,2075.936,2079.9784285714286,2067.851142857143,0.0,198.2517857142857,2024-01-02 12:00:00,2067.851142857143,0.0,TP,198.25
2024-01-02 13:00:00,SELL,2067.829,2072.3120714285715,2058.862857142857,0.0,198.2517857142857,2024-01-02 15:00:00,2058.862857142857,0.0,TP,198.25
2024-01-03 01:00:00,BUY,2060.185,2054.9180714285712,2070.718857142857,0.0,198.2517857142857,2024-01-03 07:00:00,2064.268,0.0,Reversal,198.25
2024-01-03 08:00:00,SELL,2062.857,2065.659142857143,2057.2527142857143,0.0,198.2517857142857,2024-01-03 09:00:00,2057.2527142857143,0.0,TP,198.25
2024-01-03 10:00:00,SELL,2056.745,2059.8804999999998,2050.4739999999997,0.0,198.2517857142857,2024-01-03 11:00:00,2050.4739999999997,0.0,TP,198.25
2024-01-03 12:00:00,SELL,2047.648,2051.5459285714287,2039.8521428571428,0.0,198.2517857142857,2024-01-03 13:00:00,2039.8521428571428,0.0,TP,198.25
2024-01-03 14:00:00,SELL,2041.027,2046.0393571428572,2031.0022857142858,0.0,198.2517857142857,2024-01-03 15:00:00,2046.0393571428572,-0.0,SL,198.25
2024-01-03 16:00:00,SELL,2032.601,2038.691142857143,2020.4207142857144,0.0,198.2517857142857,2024-01-03 19:00:00,2038.691142857143,-0.0,SL,198.25
2024-01-03 23:00:00,BUY,2042.001,2035.089642857143,2055.8237142857142,0.0,198.2517857142857,2024-01-04 12:00:00,2045.136,0.0,Reversal,198.25
2024-01-04 13:00:00,SELL,2045.864,2049.3910714285716,2038.8098571428573,0.0,198.2517857142857,2024-01-04 14:00:00,2038.8098571428573,0.0,TP,198.25
2024-01-05 01:00:00,BUY,2044.261,2040.5197142857141,2051.743571428571,0.0,198.2517857142857,2024-01-05 05:00:00,2044.551,0.0,Reversal,198.25
2024-01-05 06:00:00,SELL,2044.454,2046.926,2039.5099999999998,0.0,198.2517857142857,2024-01-05 07:00:00,2046.926,-0.0,SL,198.25
2024-01-05 09:00:00,SELL,2042.345,2045.1107142857143,2036.8135714285713,0.0,198.2517857142857,2024-01-05 13:00:00,2036.8135714285713,0.0,TP,198.25
2024-01-05 14:00:00,BUY,2039.88,2035.129642857143,2049.3807142857145,0.0,198.2517857142857,2024-01-05 15:00:00,2049.3807142857145,0.0,TP,198.25
2024-01-08 02:00:00,SELL,2043.767,2050.5882857142856,2030.1244285714286,0.0,198.2517857142857,2024-01-08 05:00:00,2030.1244285714286,0.0,TP,198.25
2024-01-08 09:00:00,SELL,2028.284,2032.3868571428573,2020.0782857142858,0.0,198.2517857142857,2024-01-08 11:00:00,2020.0782857142858,0.0,TP,198.25
2024-01-08 15:00:00,BUY,2026.353,2020.4747857142856,2038.1094285714287,0.0,198.2517857142857,2024-01-09 05:00:00,2032.866,0.0,Reversal,198.25
2024-01-09 07:00:00,BUY,2033.161,2029.6432142857143,2040.1965714285716,0.0,198.2517857142857,2024-01-09 13:00:00,2040.1965714285716,0.0,TP,198.25
2024-01-09 15:00:00,SELL,2034.567,2039.0736428571429,2025.5537142857142,0.0,198.2517857142857,2024-01-10,2030.403,0.0,Reversal,198.25
2024-01-10 01:00:00,BUY,2030.226,2026.0900000000001,2038.498,0.0,198.2517857142857,2024-01-10 05:00:00,2026.0900000000001,-0.0,SL,198.25
2024-01-10 06:00:00,SELL,2026.624,2029.9671428571428,2019.9377142857143,0.0,198.2517857142857,2024-01-10 07:00:00,2029.9671428571428,-0.0,SL,198.25
2024-01-10 08:00:00,BUY,2030.924,2027.3867857142857,2037.9984285714286,0.0,198.2517857142857,2024-01-10 10:00:00,2037.9984285714286,0.0,TP,198.25
2024-01-10 13:00:00,SELL,2031.521,2035.4687142857142,2023.6255714285714,0.0,198.2517857142857,2024-01-10 17:00:00,2023.6255714285714,0.0,TP,198.25
2024-01-10 18:00:00,SELL,2023.947,2028.567,2014.7069999999999,0.0,198.2517857142857,2024-01-11,2026.413,-0.0,Reversal,198.25
2024-01-11 01:00:00,BUY,2027.848,2024.0347857142856,2035.4744285714285,0.0,198.2517857142857,2024-01-11 07:00:00,2035.4744285714285,0.0,TP,198.25
2024-01-11 09:00:00,SELL,2030.839,2033.6092857142855,2025.2984285714285,0.0,198.2517857142857,2024-01-11 11:00:00,2033.6092857142855,-0.0,SL,198.25
2024-01-11 13:00:00,BUY,2032.394,2028.1927142857144,2040.7965714285715,0.0,198.2517857142857,2024-01-11 14:00:00,2028.1927142857144,-0.0,SL,198.25
2024-01-11 16:00:00,SELL,2028.954,2034.9656428571427,2016.9307142857142,0.0,198.2517857142857,2024-01-11 17:00:00,2016.9307142857142,0.0,TP,198.25
2024-01-11 21:00:00,BUY,2027.507,2020.4963571428573,2041.5282857142859,0.0,198.2517857142857,2024-01-12 10:00:00,2041.5282857142859,0.0,TP,198.25
2024-01-12 11:00:00,BUY,2045.835,2042.1002142857144,2053.3045714285713,0.0,198.2517857142857,2024-01-12 12:00:00,2053.3045714285713,0.0,TP,198.25
2024-01-12 13:00:00,BUY,2047.805,2043.2510000000002,2056.913,0.0,198.2517857142857,2024-01-12 14:00:00,2056.913,0.0,TP,198.25
